station_id,station_name,requests,p0_successful_rentals,p0_failed_rentals,p0_service_rate,p0_empty_minutes,p0_empty_rate,initial_bikes,p0_final_bikes,default_successful_rentals,default_failed_rentals,default_service_rate,default_empty_minutes,default_empty_rate,default_relocated_in,default_relocated_out,default_final_bikes,default_failures_avoided_vs_p0,default_service_rate_pp_vs_p0,default_empty_hours_reduced_vs_p0,service_successful_rentals,service_failed_rentals,service_service_rate,service_empty_minutes,service_empty_rate,service_relocated_in,service_relocated_out,service_final_bikes,service_failures_avoided_vs_p0,service_service_rate_pp_vs_p0,service_empty_hours_reduced_vs_p0,latitude,longitude,service_additional_failures_avoided_vs_default
2312,청담역 13번 출구 앞,67,51,16,0.761194,2195.533,0.304935,3,3,64,3,0.955224,353.192,0.049054,20,5,7,13,19.403,30.706,66,1,0.985075,119.092,0.016541,19,4,7,15,22.388,34.607,37.52058029,127.05632782,2
2313,금원빌딩 앞,62,62,0,1.0,0.0,0.0,8,8,62,0,1.0,45.418,0.006308,5,19,2,0,0.0,-0.757,62,0,1.0,76.989,0.010693,15,31,3,0,0.0,-1.283,37.52505493,127.05252838,0
2315,봉은사역 5번출구 옆,109,109,0,1.0,0.0,0.0,26,48,109,0,1.0,0.0,0.0,0,41,9,0,0.0,0.0,109,0,1.0,0.0,0.0,0,44,10,0,0.0,0.0,37.51424789,127.06111908,0
2317,삼성도로공원,93,93,0,1.0,0.0,0.0,22,11,93,0,1.0,0.0,0.0,0,5,10,0,0.0,0.0,93,0,1.0,0.0,0.0,0,10,5,0,0.0,0.0,37.51588821,127.06620026,0
2318,삼성중앙역4번출구(문화센터더 리빌),15,14,1,0.933333,202.45,0.028118,5,0,15,0,1.0,0.0,0.0,0,0,1,1,6.667,3.374,15,0,1.0,0.0,0.0,0,0,1,1,6.667,3.374,37.51357651,127.05503082,0
2319,포스코사거리 서측(수협 삼성동 지점),108,100,8,0.925926,708.333,0.09838,18,2,107,1,0.990741,204.989,0.028471,15,10,7,7,6.481,8.389,107,1,0.990741,98.961,0.013745,15,14,7,7,6.481,10.156,37.50660706,127.05467987,0
2320,도곡역 대치지구대 방향,87,87,0,1.0,0.0,0.0,31,64,87,0,1.0,0.0,0.0,0,10,55,0,0.0,0.0,87,0,1.0,0.0,0.0,0,8,59,0,0.0,0.0,37.49191284,127.05709076,0
2321,학여울역 사거리,34,34,0,1.0,1440.683,0.200095,8,4,33,1,0.970588,38.034,0.005283,5,4,6,-1,-2.941,23.377,33,1,0.970588,37.896,0.005263,5,4,7,-1,-2.941,23.38,37.49611664,127.06944275,0
2324,천주교 대치 2동 교회 옆,126,126,0,1.0,17.8,0.002472,6,4,126,0,1.0,0.0,0.0,0,0,6,0,0.0,0.297,126,0,1.0,0.0,0.0,0,1,6,0,0.0,0.297,37.50043869,127.06622314,0
2325,대치삼성아파트 앞 교차로,97,91,6,0.938144,844.217,0.117252,5,1,97,0,1.0,18.827,0.002615,5,0,5,6,6.186,13.756,97,0,1.0,0.0,0.0,8,5,5,6,6.186,14.07,37.4986496,127.05931854,0
2326,대치동 삼성로,50,29,21,0.58,5265.483,0.731317,0,0,43,7,0.86,117.75,0.016354,10,0,1,14,28.0,85.796,43,7,0.86,116.708,0.016209,10,0,1,14,28.0,85.813,37.50239563,127.05879974,0
2327,뱅뱅사거리 랜드마크타워 앞,140,140,0,1.0,0.0,0.0,12,28,140,0,1.0,0.0,0.0,0,21,16,0,0.0,0.0,140,0,1.0,0.0,0.0,0,30,9,0,0.0,0.0,37.49055099,127.03146362,0
2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,109,81,28,0.743119,2702.833,0.375394,23,1,102,7,0.93578,274.736,0.038158,24,15,2,21,19.266,40.468,98,11,0.899083,180.96,0.025133,22,22,2,17,15.596,42.031,37.50321198,127.04273224,-4
2329,르네상스호텔사거리 역삼지하보도 2번출구,38,33,5,0.868421,4440.25,0.616701,2,0,38,0,1.0,238.99,0.033193,5,0,2,5,13.158,70.021,38,0,1.0,0.0,0.0,8,0,5,5,13.158,74.004,37.50235748,127.04319,0
2330,역삼월드메르디앙아파트 앞,69,69,0,1.0,1541.5,0.214097,3,3,69,0,1.0,0.0,0.0,4,0,7,0,0.0,25.692,69,0,1.0,0.0,0.0,4,0,7,0,0.0,25.692,37.49219894,127.03945923,0
2331,동영문화센터앞,96,74,22,0.770833,2538.533,0.352574,12,1,91,5,0.947917,167.18,0.023219,15,0,5,17,17.708,39.523,94,2,0.979167,136.319,0.018933,18,0,6,20,20.833,40.037,37.49805069,127.04460144,3
2332,선릉역3번출구,227,185,42,0.814978,1516.917,0.210683,6,0,222,5,0.977974,354.353,0.049216,20,18,0,37,16.3,19.376,224,3,0.986784,95.205,0.013223,18,19,0,39,17.181,23.695,37.50410461,127.04903412,2
2333,양재역 3번출구 주변,172,93,79,0.540698,4531.6,0.629389,1,0,134,38,0.77907,696.885,0.09679,39,0,1,41,23.837,63.912,138,34,0.802326,432.751,0.060104,43,0,1,45,26.163,68.314,37.48515701,127.03407288,4
2335,3호선 매봉역 3번출구앞,302,302,0,1.0,0.0,0.0,34,87,302,0,1.0,0.0,0.0,0,1,85,0,0.0,0.0,302,0,1.0,0.0,0.0,0,0,92,0,0.0,0.0,37.48676682,127.04676056,0
2336,강남세브란스교차로 래미안그레이튼 104동 앞,98,94,4,0.959184,666.05,0.092507,6,1,94,4,0.959184,248.239,0.034478,19,18,6,0,0.0,6.964,95,3,0.969388,149.73,0.020796,5,5,5,1,1.02,8.605,37.49423599,127.04746246,1
2337,대모산입구역 2번출구 앞,62,62,0,1.0,0.0,0.0,5,13,62,0,1.0,0.0,0.0,0,0,15,0,0.0,0.0,62,0,1.0,0.0,0.0,0,5,11,0,0.0,0.0,37.49207687,127.07197571,0
2339,현대아파트 정문 앞,76,75,1,0.986842,1743.45,0.242146,5,4,75,1,0.986842,107.512,0.014932,10,5,10,0,0.0,27.266,76,0,1.0,13.208,0.001834,5,0,10,1,1.316,28.837,37.48326111,127.0522995,1
2340,삼호물산버스정류장(23370) 옆,313,313,0,1.0,0.0,0.0,34,64,313,0,1.0,0.0,0.0,0,0,67,0,0.0,0.0,313,0,1.0,0.0,0.0,0,11,58,0,0.0,0.0,37.47750854,127.04517365,0
2341,일원역 4~5번 출구 사이,80,44,36,0.55,3192.15,0.443354,10,0,77,3,0.9625,338.809,0.047057,35,4,1,33,41.25,47.556,77,3,0.9625,228.577,0.031747,33,4,1,33,41.25,49.393,37.4833107,127.08493805,0
2342,대청역 1번출구 뒤,171,160,11,0.935673,1107.383,0.153803,5,2,168,3,0.982456,278.341,0.038658,10,0,4,8,4.678,13.817,171,0,1.0,171.665,0.023842,15,0,7,11,6.433,15.595,37.49390793,127.07962036,3
2344,리엔파크 2단지 앞,62,62,0,1.0,0.0,0.0,12,19,62,0,1.0,0.0,0.0,0,5,17,0,0.0,0.0,62,0,1.0,0.0,0.0,0,4,18,0,0.0,0.0,37.46506119,127.10119629,0
2347,두산건설 본사,65,22,43,0.338462,3843.367,0.533801,10,0,49,16,0.753846,619.172,0.085996,27,5,4,27,41.538,53.737,51,14,0.784615,388.86,0.054008,29,5,3,29,44.615,57.575,37.51863861,127.03540039,2
2348,포스코사거리(기업은행),362,276,86,0.762431,1511.95,0.209993,28,0,316,46,0.872928,555.557,0.077161,25,25,5,40,11.05,15.94,323,39,0.892265,335.32,0.046572,20,38,3,47,12.983,19.61,37.50723267,127.05685425,7
2349,역삼빌딩 앞(하나은행 옆),46,25,21,0.543478,5983.483,0.831039,0,1,41,5,0.891304,535.183,0.074331,15,0,6,16,34.783,90.805,41,5,0.891304,291.318,0.040461,15,4,2,16,34.783,94.869,37.50154495,127.03856659,0
2350,래미안그레이튼102동앞,38,38,0,1.0,0.0,0.0,5,6,38,0,1.0,25.763,0.003578,5,10,4,0,0.0,-0.429,38,0,1.0,47.956,0.006661,5,9,5,0,0.0,-0.799,37.49482346,127.04790497,0
2351,청소년수련관(수영장)앞,46,37,9,0.804348,2221.583,0.308553,11,2,45,1,0.978261,191.441,0.026589,10,0,5,8,17.391,33.836,44,2,0.956522,280.272,0.038927,15,4,7,7,15.217,32.355,37.48387909,127.0890274,-1
2352,서울본부세관(건설회관 앞),81,30,51,0.37037,4914.6,0.682583,14,0,63,18,0.777778,830.044,0.115284,38,5,4,33,40.741,68.076,65,16,0.802469,770.405,0.107001,39,5,4,35,43.21,69.07,37.51758957,127.03502655,2
2353,강남구청역 2번출구 뒤,140,57,83,0.407143,4216.733,0.585657,12,0,108,32,0.771429,1129.622,0.156892,36,0,2,51,36.429,51.452,115,25,0.821429,697.816,0.096919,46,0,5,58,41.429,58.649,37.51681137,127.04047394,7
2354,청담역 2번출구,33,12,21,0.363636,2052.367,0.285051,3,0,31,2,0.939394,225.266,0.031287,15,0,3,19,57.576,30.452,32,1,0.969697,112.273,0.015594,12,0,1,20,60.606,32.335,37.51978683,127.0567627,1
2356,강남구청,77,41,36,0.532468,4269.333,0.592963,14,0,70,7,0.909091,941.573,0.130774,30,0,5,29,37.662,55.463,72,5,0.935065,433.378,0.060191,34,4,5,31,40.26,63.933,37.51807022,127.04711914,2
2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),73,54,19,0.739726,3997.117,0.555155,2,1,69,4,0.945205,393.879,0.054705,9,0,1,15,20.548,60.054,71,2,0.972603,712.929,0.099018,15,4,1,17,23.288,54.736,37.50166321,127.04297638,2
2358,구룡초사거리 (현대아파트10동 앞 ),77,68,9,0.883117,1925.033,0.267366,9,0,72,5,0.935065,369.96,0.051383,10,4,4,4,5.195,25.918,76,1,0.987013,29.9,0.004153,10,5,4,8,10.39,31.586,37.48138428,127.05391693,4
2359,"국립국악중,고교 정문 맞은편",176,176,0,1.0,0.0,0.0,14,15,172,4,0.977273,83.417,0.011586,0,15,4,-4,-2.273,-1.39,174,2,0.988636,142.255,0.019758,5,18,6,-2,-1.136,-2.371,37.47560501,127.05037689,2
2360,도곡1동 주민센터 교차로,125,118,7,0.944,712.55,0.098965,18,3,119,6,0.952,300.92,0.041794,15,14,7,1,0.8,6.86,120,5,0.96,162.628,0.022587,14,14,5,2,1.6,9.165,37.4928093,127.04138947,1
2362,신사동 가로수길 입구,78,78,0,1.0,0.0,0.0,19,9,78,0,1.0,0.0,0.0,0,5,7,0,0.0,0.0,78,0,1.0,0.0,0.0,0,5,7,0,0.0,0.0,37.51763535,127.02245331,0
2363,강남 을지병원 교차로,44,44,0,1.0,0.0,0.0,19,12,44,0,1.0,79.539,0.011047,5,20,3,0,0.0,-1.326,44,0,1.0,0.0,0.0,4,18,3,0,0.0,0.0,37.51913834,127.02751923,0
2364,도산공원교차로,59,59,0,1.0,0.0,0.0,26,15,57,2,0.966102,157.033,0.02181,0,27,2,-2,-3.39,-2.617,58,1,0.983051,143.683,0.019956,0,27,2,-1,-1.695,-2.395,37.52124023,127.0318985,1
2365,K+ 타워 앞,84,84,0,1.0,0.0,0.0,25,11,84,0,1.0,225.867,0.03137,0,16,0,0,0.0,-3.764,80,4,0.952381,251.517,0.034933,5,22,5,-4,-4.762,-4.192,37.52330017,127.03847504,-4
2368,도곡동 경남아파트 건너편,67,41,26,0.61194,3040.883,0.422345,3,0,59,8,0.880597,865.047,0.120145,15,0,0,18,26.866,36.264,64,3,0.955224,532.837,0.074005,24,0,4,23,34.328,41.801,37.48934174,127.04129791,5
2369,KT선릉타워,155,136,19,0.877419,1161.917,0.161377,6,2,152,3,0.980645,301.769,0.041912,4,5,5,16,10.323,14.336,149,6,0.96129,238.094,0.033069,10,13,5,13,8.387,15.397,37.50542831,127.0528717,-3
2370,한티역 3번출구,47,47,0,1.0,0.0,0.0,5,9,47,0,1.0,0.0,0.0,0,5,7,0,0.0,0.0,47,0,1.0,0.0,0.0,4,8,8,0,0.0,0.0,37.49655151,127.0542984,0
2371,한국우편사업진흥원,59,19,40,0.322034,5631.067,0.782093,7,0,52,7,0.881356,1916.955,0.266244,25,0,0,33,55.932,61.902,57,2,0.966102,277.435,0.038533,31,0,2,38,64.407,89.227,37.51474762,127.03513336,5
2372,대치역 사거리,112,112,0,1.0,0.0,0.0,49,80,112,0,1.0,0.0,0.0,0,11,73,0,0.0,0.0,112,0,1.0,0.0,0.0,0,24,66,0,0.0,0.0,37.49449921,127.063797,0
2373,개포동역 사거리,57,51,6,0.894737,815.917,0.113322,3,0,57,0,1.0,9.074,0.00126,5,0,3,6,10.526,13.447,56,1,0.982456,225.217,0.03128,0,0,0,5,8.772,9.845,37.48927689,127.06557465,-1
2375,수서역 1번출구 앞,169,169,0,1.0,0.0,0.0,8,37,169,0,1.0,0.0,0.0,0,0,45,0,0.0,0.0,169,0,1.0,0.0,0.0,0,0,48,0,0.0,0.0,37.48735046,127.10099792,0
2376,수서역 6번출구 앞,179,179,0,1.0,0.0,0.0,22,9,179,0,1.0,0.0,0.0,0,5,19,0,0.0,0.0,179,0,1.0,0.0,0.0,0,10,19,0,0.0,0.0,37.48677826,127.10051727,0
2377,수서역 5번출구,414,414,0,1.0,0.0,0.0,21,36,414,0,1.0,0.0,0.0,0,0,34,0,0.0,0.0,414,0,1.0,0.0,0.0,0,0,37,0,0.0,0.0,37.48735046,127.10232544,0
2380,삼성동베이직하우스앞,54,43,11,0.796296,4063.017,0.564308,0,1,54,0,1.0,36.8,0.005111,4,0,6,11,20.37,67.104,54,0,1.0,5.398,0.00075,5,0,4,11,20.37,67.627,37.51169586,127.04934692,0
2381,언주역 6번출구앞,59,48,11,0.813559,3066.85,0.425951,2,0,59,0,1.0,23.168,0.003218,5,0,5,11,18.644,50.728,59,0,1.0,22.122,0.003073,5,0,5,11,18.644,50.745,37.50780869,127.03498077,0
2382,역삼동 sk뷰 501동앞,31,29,2,0.935484,1554.683,0.215928,4,1,31,0,1.0,89.204,0.012389,5,0,6,2,6.452,24.425,31,0,1.0,89.449,0.012424,5,0,7,2,6.452,24.421,37.50122833,127.05036163,0
2383,보금자리정원,42,40,2,0.952381,350.883,0.048734,13,1,42,0,1.0,207.1,0.028764,0,0,1,2,4.762,2.396,42,0,1.0,0.0,0.0,0,0,2,2,4.762,5.848,37.46632767,127.09488678,0
2384,자곡사거리,232,226,6,0.974138,229.667,0.031898,20,20,222,10,0.956897,308.15,0.042799,0,5,20,-4,-1.724,-1.308,229,3,0.987069,74.068,0.010287,5,6,20,3,1.293,2.593,37.47602844,127.10594177,7
2385,학동역,95,85,10,0.894737,938.767,0.130384,14,1,92,3,0.968421,444.608,0.061751,9,10,2,7,7.368,8.236,93,2,0.978947,388.799,0.054,10,11,2,8,8.421,9.166,37.51395035,127.03015137,1
2386,크린랩 본사,42,25,17,0.595238,3893.133,0.540713,5,0,36,6,0.857143,1149.668,0.159676,10,0,0,11,26.19,45.724,41,1,0.97619,411.749,0.057187,14,0,0,16,38.095,58.023,37.50958633,127.04090881,5
2387,래미안강남힐즈 사거리,145,140,5,0.965517,241.483,0.033539,24,4,141,4,0.972414,223.193,0.030999,5,5,4,1,0.69,0.305,139,6,0.958621,465.185,0.064609,14,10,9,-1,-0.69,-3.728,37.47245407,127.09607697,-2
2388,강남구 도시관리공단,85,34,51,0.4,3834.667,0.532593,16,1,50,35,0.588235,2153.048,0.299034,20,9,1,16,18.823,28.027,75,10,0.882353,817.17,0.113496,43,9,1,41,48.235,50.292,37.51678467,127.05161285,25
2389,경기여자고등학교 후문 (삼성로3길 입구),114,109,5,0.95614,119.933,0.016657,15,10,109,5,0.95614,160.35,0.022271,0,5,13,0,0.0,-0.674,113,1,0.991228,60.657,0.008425,5,4,14,4,3.509,0.988,37.48616028,127.06723785,4
2390,구룡마을 입구 (래미안블레스티지 아파트),140,140,0,1.0,0.0,0.0,26,22,140,0,1.0,0.0,0.0,0,10,15,0,0.0,0.0,140,0,1.0,24.505,0.003403,5,15,13,0,0.0,-0.408,37.48088074,127.06304169,0
2392,구룡산 입구 (구룡산 서울둘레길 입구),21,19,2,0.904762,1643.967,0.228329,9,1,21,0,1.0,62.316,0.008655,5,0,4,2,9.524,26.361,21,0,1.0,0.0,0.0,4,0,3,2,9.524,27.399,37.47447205,127.05545044,0
2394,개포래미안포레스트아파트 107동 앞,114,87,27,0.763158,1600.45,0.222285,7,9,96,18,0.842105,951.21,0.132112,15,10,9,9,7.895,10.821,102,12,0.894737,243.721,0.03385,20,5,13,15,13.158,22.612,37.48025131,127.05419159,6
2396,영동3교 북단(우성캐릭터 앞 보도),55,46,9,0.836364,761.383,0.105748,16,1,48,7,0.872727,641.369,0.089079,5,5,1,2,3.636,2.0,49,6,0.890909,544.26,0.075592,5,5,1,3,5.454,3.619,37.48574066,127.05104828,1
2398,더라움,55,34,21,0.618182,4033.967,0.560273,9,0,43,12,0.781818,1180.312,0.163932,15,4,5,9,16.364,47.561,49,6,0.890909,486.024,0.067503,18,4,3,15,27.273,59.132,37.50811005,127.0394516,6
2401,밀알학교 입구 (삼성서울병원 입구),44,22,22,0.5,2552.867,0.354565,1,1,33,11,0.75,1201.336,0.166852,15,4,1,11,25.0,22.526,40,4,0.909091,144.733,0.020102,17,0,2,18,40.909,40.136,37.48656082,127.08267212,7
2403,공무원연금매점 교차로 (개포주공9단지 입구),125,109,16,0.872,1467.65,0.20384,10,3,118,7,0.944,414.009,0.057501,10,0,8,9,7.2,17.561,119,6,0.952,360.983,0.050136,19,15,4,10,8.0,18.444,37.48871994,127.07453918,1
2404,대모산입구역 4번 출구 앞,195,195,0,1.0,0.0,0.0,39,53,195,0,1.0,0.0,0.0,0,20,32,0,0.0,0.0,195,0,1.0,0.0,0.0,0,34,22,0,0.0,0.0,37.49180984,127.07315826,0
2405,청담공원앞 교차로,172,39,133,0.226744,4718.267,0.655315,6,1,72,100,0.418605,2634.388,0.365887,25,0,1,33,19.186,34.731,92,80,0.534884,1443.528,0.20049,42,0,1,53,30.814,54.579,37.51871109,127.05084991,20
2406,논현동 광명빌딩 앞,33,33,0,1.0,0.0,0.0,22,12,33,0,1.0,0.0,0.0,0,10,3,0,0.0,0.0,33,0,1.0,14.317,0.001988,0,14,0,0,0.0,-0.239,37.5175705,127.02364349,0
2407,역삼서초삼성 세무서 앞 (역삼빌딩 앞,227,213,14,0.938326,1154.317,0.160322,17,5,208,19,0.9163,738.434,0.10256,5,10,7,-5,-2.203,6.931,220,7,0.969163,463.203,0.064334,17,15,11,7,3.084,11.519,37.49847031,127.03011322,12
2408,강남한양수자인아파트,157,157,0,1.0,0.0,0.0,13,18,157,0,1.0,0.0,0.0,0,0,18,0,0.0,0.0,157,0,1.0,0.0,0.0,0,0,19,0,0.0,0.0,37.4773407,127.11327362,0
2409,역삼동 디오슈페리움 (우성아파트 사거리),139,139,0,1.0,0.0,0.0,9,4,132,7,0.94964,321.05,0.04459,0,14,2,-7,-5.036,-5.351,135,4,0.971223,285.792,0.039693,9,23,2,-4,-2.878,-4.763,37.49206161,127.03074646,3
2410,포스코피앤에스타워 (역삼역 3번출구 부근),170,101,69,0.594118,3310.0,0.459722,19,0,105,65,0.617647,2402.962,0.333745,10,10,0,4,2.353,15.117,127,43,0.747059,1301.587,0.180776,34,14,0,26,15.294,33.474,37.49959946,127.03375244,22
2411,세곡동 성당,143,135,8,0.944056,369.283,0.051289,15,4,135,8,0.944056,369.283,0.051289,0,0,4,0,0.0,0.0,140,3,0.979021,146.114,0.020294,5,0,5,5,3.497,3.719,37.47296906,127.11222839,5
2413,도곡역 1번 출구,146,146,0,1.0,0.0,0.0,31,35,146,0,1.0,0.0,0.0,0,0,36,0,0.0,0.0,146,0,1.0,0.0,0.0,0,15,20,0,0.0,0.0,37.49095917,127.05498505,0
2414,도곡역 아카데미스위트 앞,220,220,0,1.0,0.0,0.0,29,50,220,0,1.0,0.0,0.0,0,10,43,0,0.0,0.0,220,0,1.0,0.0,0.0,0,6,49,0,0.0,0.0,37.48897171,127.05182648,0
2415,한티역 롯데백화점 앞,135,134,1,0.992593,610.217,0.084752,13,10,135,0,1.0,241.983,0.033609,10,18,6,1,0.741,6.137,135,0,1.0,0.0,0.0,4,10,7,1,0.741,10.17,37.49667358,127.05342865,0
2416,한티역 6번 출구,74,74,0,1.0,0.0,0.0,10,6,69,5,0.932432,521.367,0.072412,0,10,7,-5,-6.757,-8.689,68,6,0.918919,548.617,0.076197,0,11,9,-6,-8.108,-9.144,37.4958992,127.05219269,-1
2417,선정릉 디캠프(D.CAMP)앞,35,31,4,0.885714,1840.017,0.255558,8,1,35,0,1.0,184.608,0.02564,5,4,2,4,11.429,27.59,35,0,1.0,106.25,0.014757,5,4,2,4,11.429,28.896,37.50799942,127.04524994,0
2418,봉은사역 7번 출구,108,91,17,0.842593,952.7,0.132319,1,1,100,8,0.925926,508.583,0.070637,0,5,2,9,8.333,7.402,103,5,0.953704,306.849,0.042618,9,13,1,12,11.111,10.764,37.51393509,127.05982208,3
2419,"봉은사역 1,2번 출구",77,77,0,1.0,0.0,0.0,24,12,77,0,1.0,0.0,0.0,0,20,2,0,0.0,0.0,77,0,1.0,0.0,0.0,0,22,2,0,0.0,0.0,37.51430893,127.05970001,0
2420,학여울역 사거리(LG베스트샵 앞),111,111,0,1.0,0.0,0.0,19,8,107,4,0.963964,330.55,0.04591,0,6,7,-4,-3.604,-5.509,107,4,0.963964,330.55,0.04591,0,6,8,-4,-3.604,-5.509,37.49689484,127.07013702,0
2422,수서동 성당 맞은편,64,64,0,1.0,0.0,0.0,12,6,61,3,0.953125,635.35,0.088243,0,15,1,-3,-4.688,-10.589,61,3,0.953125,621.05,0.086257,4,18,1,-3,-4.688,-10.351,37.48416901,127.09484863,0
2423,영희초교 사거리(래미안개포루체하임),144,144,0,1.0,0.0,0.0,35,29,144,0,1.0,51.653,0.007174,5,27,12,0,0.0,-0.861,139,5,0.965278,229.2,0.031833,4,39,7,-5,-3.472,-3.82,37.4908371,127.08065033,-5
2425,세곡동 사거리(대왕초등학교 정류장),44,44,0,1.0,0.0,0.0,26,27,44,0,1.0,0.0,0.0,0,0,27,0,0.0,0.0,44,0,1.0,0.0,0.0,0,4,22,0,0.0,0.0,37.46461868,127.10684967,0
2426,강남한신휴플러스 6단지,82,69,13,0.841463,1226.567,0.170356,10,3,74,8,0.902439,555.521,0.077156,5,0,4,5,6.098,11.184,71,11,0.865854,650.374,0.09033,5,4,3,2,2.439,9.603,37.46829605,127.10469818,-3
2427,개포고등학교 정문앞,110,109,1,0.990909,102.133,0.014185,7,3,107,3,0.972727,313.783,0.043581,0,0,3,-2,-1.818,-3.528,107,3,0.972727,277.597,0.038555,5,6,1,-2,-1.818,-2.924,37.48485184,127.0583725,0
2430,강남파이낸스센터앞(역삼역2번출구),86,65,21,0.755814,5217.467,0.724648,0,0,75,11,0.872093,873.501,0.12132,10,0,0,10,11.628,72.399,82,4,0.953488,135.411,0.018807,19,0,2,17,19.767,84.701,37.50024414,127.03605652,7
2431,대치역 7번출구,165,165,0,1.0,0.0,0.0,23,48,165,0,1.0,0.0,0.0,0,5,45,0,0.0,0.0,165,0,1.0,0.0,0.0,0,4,49,0,0.0,0.0,37.49411774,127.06290436,0
3602,한국지역난방공사강남지사,83,82,1,0.987952,212.033,0.029449,9,1,78,5,0.939759,214.083,0.029734,0,5,1,-4,-4.819,-0.034,83,0,1.0,197.45,0.027424,4,0,5,1,1.205,0.243,37.49229431,127.09433746,5
3604,삼성중앙역 5번출구,93,69,24,0.741935,2086.833,0.289838,10,1,76,17,0.817204,1104.827,0.153448,9,9,6,7,7.527,16.367,84,9,0.903226,728.46,0.101175,15,10,6,15,16.129,22.64,37.51296234,127.05386353,8
3606,신사동주민센터 옆,53,53,0,1.0,0.0,0.0,17,25,53,0,1.0,0.0,0.0,0,20,8,0,0.0,0.0,53,0,1.0,0.0,0.0,0,25,3,0,0.0,0.0,37.52422714,127.02285004,0
3609,언주초등학교 입구,87,87,0,1.0,0.0,0.0,21,32,85,2,0.977011,281.05,0.039035,0,29,7,-2,-2.299,-4.684,83,4,0.954023,330.05,0.04584,5,37,7,-4,-4.598,-5.501,37.48536682,127.03849792,-2
3610,윗반마을 입구,19,18,1,0.947368,302.817,0.042058,1,2,18,1,0.947368,302.817,0.042058,0,0,2,0,0.0,0.0,19,0,1.0,0.0,0.0,4,0,5,1,5.263,5.047,37.46534729,127.1088028,1
